product name,price
"Hisense A6K- 43"" inch UHD Frameless Smart/Bluetooth TV, InbuiltDecoder/+TV Guard+Bracket","KSh 30,995"
"Hisense 43"" Inch-Frameless//Bluetooth,Smart&Digital LED TV FULL HD,Netflix+BRACKET+POWER GUARD","KSh 24,999"
"Vitron  HTC3200S 32"" Inches Bluetooth-Enabled Smart Android Television With Inbuilt Wi-Fi, Inbuilt Decoder Netflix,Appstore+FREE GIFTS (1 YEAR WARRANTY )","KSh 12,099"
"Amtec Am 32M8, 32"", Digital LED TV DVBt2 HD AC/DC (1YR WRTY)","KSh 9,560"
"Gld 43"" inch TV Smart Android TV Bluetooth Connectivity Television,Wifi connectivity, Inbuilt Decoder for local channels, Netflix,Youtube HDMI USB PORTS Wide Color Enhancer + FREE  SURGE PROTECTOR/TVGUARD+ WALL MOUNTING BRACKET+EXTENSION CABLE","KSh 20,895"
"Vision Plus 32 Inch, BLUETOOTH, FRAMELESS, SMART ANDROID TV","KSh 12,990"
"Vitron HTC3200S 32-Inch Frameless Bluetooth Smart Android TV,Wi-Fi Built-in, HD LED TV,App Store Access, Inbuilt Free-to-Air Decoder+Free TV Guard,Wall Bracket+Flash Disk (","KSh 12,499"
"Vitron 50"" Inch ULTRA HD 4K Frameless Smart Android TV Bluetooth//Inbuilt Decoder/Wi-Fi+FREE ROTATING BRACKET","KSh 35,690"
"Hisense 50"" INCH, 50A6 ULTRA 4K HD Smart TV,A6 SERIES VIDAA OS, BLUETOOTH ENABLED, NETFLIX ,YOUTUBE, BUILT-IN WIFI,NATURAL COLOR ENHANCER,INBUILT DECODER,DOLBY,CLEAN VIEW+FREE TV GUARD+WALL MOUNTING BRACKET","KSh 41,995"
"Skyworth 50G3A, 50″ 4K UHD Frameless Smart Android TV – Black","KSh 38,199"
Vitron HTC5068US 50” Smart Android 4K UHD LED TV - Black (1YR WRTY),"KSh 31,320"
Lyons LES5002W 50” 4K UHD Frameless Android Smart TV With Bluetooth - Black (1YR WRTY),"KSh 28,999"
"Hisense 32A4K ,32"" Inch Television Frameless Smart TV (2YRS WRTY)","KSh 15,670"
"Vitron HTC3200S,32"" Inch Bluetooth Enabled Television, Frameless Smart Android TV, Inbuilt Free To Air Decoder For Local Channels, App Store, Netflix Youtube, Wi-Fi Connectivity 2*USB Ports 3*HDMI Ports 1GBRAM 8GB ROM +FREE WALL MOUNTING BRACKET+EXTENSION CABLE","KSh 11,895"
Fire  TV Stick YouTube / Netflix / amazon music / amazon movie. & Alexa Voice Remote.,"KSh 7,200"
"Amtec  24 Inch, Digital LED TV - HDMI,USB PORT","KSh 6,464"
"Amtec 24""inches,LED DIGITAL,HD -USB AND HDMI CONNECTIVITY","KSh 6,670"
"Vitron 32"" Inch Smart Android Tv,USB/HDMI,Frameless, Netflix + FREE GIFTS","KSh 11,790"
